taxa,taxa_level,common
Abudefduf bengalensis,species,Bengal Sergeant
Acanthochromis polyacanthus,species,NA
Acanthopagrus morrisoni,species,NA
Acanthurus grammoptilus,species,NA
Amniataba caudavittata,species,NA
Caesio cuning/teres,species,NA
Carangoides fulvoguttatus,species,NA
Caranx papuensis,species,NA
Carcharhinus melanopterus,species,NA
Chaetodon aureofasciatus,species,NA
Chaetodontoplus mesoleucus,species,NA
Chelmon marginalis,species,NA
Choerodon cyanodus,species,NA
Choerodon schoenleinii,species,NA
Echeneis naucrates,species,NA
Epinephelus coioides,species,NA
Epinephelus malabaricus,species,NA
Halichoeres melanochir,species,NA
Heniochus diphreutes/acuminatus,species,NA
Lethrinus laticaudis,species,NA
Lutjanus argentimaculatus,species,NA
Lutjanus carponotatus,species,NA
Lutjanus lemniscatus,species,NA
Lutjanus russellii,species,NA
Moolgarda buchanani,species,NA
Parupeneus indicus,species,NA
Plectropomus sp,species,NA
Pomacanthus sexstriatus,species,NA
Pomacentrus milleri,species,NA
Scaevius milii,species,NA
Scarus ghobban,species,NA
Scarus sp3,species,NA
Scolopsis monogramma,species,NA
Siganus lineatus,species,NA
Siganus virgatus/doliatus,species,NA
